vendor_name,vendor_id,bank_account,invoice_number,invoice_date,due_date,unit_price,quantity,total_amount,tax_amount,payment_terms,department,approver_name,fraud,is_duplicate,days_to_due,weekend_submission,amount_threshold_proximity,line_item_price_consistency
Holt Inc,V043,ZPLY48045338540326,INV-87325,2026-01-01,2026-02-15,3383,15,50745,9134.1,45,Finance,Misty Hill,0,0,45,0,49255,1
Smith-Haynes,V008,AXKJ74083982981899,INV-52957,2025-12-20,2026-01-19,4405,12,52860,9514.8,30,IT,James Sheppard,0,0,30,1,47140,1
Cherry-Stewart,V018,JMGX55320761157941,INV-12074,2026-02-04,2026-03-21,2920,13,37960,6832.8,45,Operations,Austin Johnston,0,0,45,0,62040,1
Campos-Lutz,V042,VCRH26156934968940,INV-15514,2026-03-04,2026-04-18,4031,14,56434,10158.12,45,Finance,Nicholas Alvarez,0,0,45,0,43566,1
Carter-Young,V048,CIES02915339744667,INV-64626,2025-08-02,2025-09-16,1543,19,29317,5277.06,45,Operations,Janice Robinson,0,0,45,1,70683,1
"Rodriguez, Acosta and Le",V017,QIJL77594883627469,INV-99665,2025-06-19,2025-08-03,1145,12,13740,2473.2,45,Procurement,Kyle Russell,0,0,45,0,86260,1
"Berry, Baker and Ellis",V004,PPKJ87734234893463,INV-14659,2025-10-29,2025-12-13,2759,12,33108,5959.44,45,IT,Lori Vasquez,0,0,45,0,66892,1
"Moreno, Bryant and Travis",V026,XOVB46527763133994,INV-93152,2025-10-04,2025-11-18,3081,4,12324,2218.32,45,HR,Michael Alexander,0,0,45,1,87676,1
Nguyen-Taylor,V029,DFJE86083235047144,INV-11505,2026-05-30,2026-07-29,3489,20,69780,12560.4,60,IT,Kristina Allen,0,0,60,1,30220,1
"Berry, Baker and Ellis",V004,XDIN16212538708859,INV-43136,2025-12-09,2026-02-07,1446,1,1446,260.28,60,Procurement,Gary Harris,0,0,60,0,98554,1
Williams-Rios,V012,MYRA13439237962721,INV-72033,2025-08-07,2025-09-06,1577,6,9462,1703.16,30,IT,Samantha Townsend,0,0,30,0,90538,1
Torres-Cohen,V002,MTNT80667827180916,INV-64333,2026-04-22,2026-06-06,975,1,975,175.5,45,Finance,Benjamin Taylor,0,1,45,0,99025,1
"Moreno, Bryant and Travis",V026,OFTZ16629411642823,INV-80225,2026-05-09,2026-05-24,2098,9,18882,3398.76,15,Procurement,Stephen Johnson,0,0,15,1,81118,1
Thomas-Padilla,V024,LXCR74882512451200,INV-64158,2026-06-01,2026-07-31,3673,8,29384,5289.12,60,HR,Katie Aguilar,0,0,60,0,70616,1
